epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,534.573,2.47922,3.15365,1.75519,0.48615,0.41238,0.37315,0.13742,2.34711,3.36249,1.83978,0.000466993,0.000466993,0.000466993
2,1080.19,2.06709,2.01162,1.56998,0.41347,0.63236,0.5433,0.18305,2.29806,1.89757,1.99446,0.000924649,0.000924649,0.000924649
3,1642.94,2.0199,1.69747,1.52212,0.58349,0.59721,0.57993,0.22123,2.16126,1.79081,1.87886,0.00136344,0.00136344,0.00136344
4,2270.47,2.04616,1.76957,1.52138,0.83279,0.53333,0.65163,0.22703,2.14237,1.81921,1.85254,0.00134412,0.00134412,0.00134412
5,2825.04,1.93311,1.52628,1.46291,0.82529,0.62222,0.70053,0.28408,2.03878,1.54771,1.75819,0.00131582,0.00131582,0.00131582
6,3383.62,1.88675,1.41284,1.4656,0.84536,0.79796,0.84858,0.3467,1.96403,1.27837,1.65729,0.00128753,0.00128753,0.00128753
7,3913.57,1.84308,1.25987,1.40712,0.79592,0.72808,0.77222,0.31002,2.07421,1.30628,1.81982,0.00125923,0.00125923,0.00125923
8,4420.49,1.87758,1.29125,1.45177,0.86401,0.75614,0.85467,0.34986,1.99251,1.27322,1.62167,0.00123094,0.00123094,0.00123094
9,4929.43,1.81798,1.25138,1.40591,0.84127,0.76822,0.82349,0.36529,1.96101,1.31303,1.63522,0.00120265,0.00120265,0.00120265
10,5435.8,1.81096,1.17567,1.39162,0.92965,0.81993,0.88857,0.3854,1.94164,1.08714,1.62792,0.00117435,0.00117435,0.00117435
11,5941.32,1.80654,1.17733,1.36177,0.83612,0.81999,0.85318,0.35611,1.90124,1.14843,1.57248,0.00114606,0.00114606,0.00114606
12,6444.1,1.78508,1.20116,1.37688,0.88232,0.82963,0.88105,0.34735,2.02346,1.08858,1.66083,0.00111776,0.00111776,0.00111776
13,6949.11,1.80543,1.15279,1.38899,0.86256,0.88889,0.9401,0.3935,1.8851,1.08618,1.54397,0.00108947,0.00108947,0.00108947
14,7464.04,1.79143,1.13845,1.3758,0.91568,0.84444,0.89187,0.39752,1.84137,0.99763,1.55489,0.00106118,0.00106118,0.00106118
15,7997.87,1.7452,1.07264,1.33186,0.94717,0.86627,0.9367,0.39017,1.85923,0.96958,1.55711,0.00103288,0.00103288,0.00103288
16,8523.93,1.75337,1.04823,1.31569,0.94876,0.87563,0.91876,0.36838,1.8961,1.00291,1.56841,0.00100459,0.00100459,0.00100459
17,9028.49,1.7384,1.06157,1.32052,0.96523,0.89347,0.94717,0.41087,1.85554,0.9266,1.59261,0.000976293,0.000976293,0.000976293
18,9531.9,1.74156,1.03264,1.32766,0.92948,0.86467,0.91051,0.37202,1.89965,0.99261,1.5893,0.000947999,0.000947999,0.000947999
19,10034.4,1.74464,1.0452,1.35373,0.91209,0.91111,0.93705,0.37378,1.90615,1.01366,1.59662,0.000919704,0.000919704,0.000919704
20,10547.2,1.70441,1.04708,1.31332,0.95144,0.93077,0.9618,0.42271,1.81832,0.91432,1.52957,0.00089141,0.00089141,0.00089141
21,11052.6,1.70838,0.9728,1.31467,0.97619,0.90538,0.9513,0.40471,1.86441,0.92861,1.57133,0.000863116,0.000863116,0.000863116
22,11564.8,1.67016,0.98123,1.28863,0.89559,0.88889,0.90581,0.38696,1.91533,0.96393,1.60715,0.000834822,0.000834822,0.000834822
23,12075,1.71357,0.98917,1.32209,0.98435,0.90139,0.95045,0.42396,1.83324,0.93753,1.52262,0.000806528,0.000806528,0.000806528
24,12583.8,1.72025,0.99161,1.29554,0.94118,0.89392,0.91739,0.41973,1.81727,0.94658,1.51643,0.000778233,0.000778233,0.000778233
25,13087.6,1.68233,0.99173,1.27717,0.94468,0.90314,0.93457,0.41756,1.824,0.94257,1.51681,0.000749939,0.000749939,0.000749939
26,13586.8,1.71162,1.00277,1.3095,0.97243,0.89531,0.92763,0.40064,1.87875,0.90957,1.53684,0.000721645,0.000721645,0.000721645
27,14088.1,1.63121,0.91463,1.28896,0.93878,0.86087,0.89595,0.40845,1.89069,0.93316,1.53718,0.000693351,0.000693351,0.000693351
28,14590.2,1.65863,0.92162,1.27419,0.95739,0.91025,0.95798,0.41952,1.82564,0.93376,1.52565,0.000665057,0.000665057,0.000665057
29,15089.6,1.66548,0.92844,1.25888,0.93983,0.91852,0.95468,0.39672,1.8581,0.94047,1.52116,0.000636762,0.000636762,0.000636762
30,15591.1,1.65735,0.91374,1.25499,0.95133,0.94416,0.96621,0.44238,1.80988,0.87653,1.51773,0.000608468,0.000608468,0.000608468
31,16090.4,1.62251,0.89771,1.2468,0.97316,0.94815,0.97008,0.4259,1.83441,0.872,1.51528,0.000580174,0.000580174,0.000580174
32,16591.8,1.6236,0.92485,1.26774,0.96904,0.94567,0.95118,0.4213,1.86338,0.90311,1.55017,0.00055188,0.00055188,0.00055188
33,17094.3,1.62993,0.89561,1.25603,0.96027,0.89646,0.93433,0.40985,1.85234,0.88165,1.52404,0.000523586,0.000523586,0.000523586
34,17597.2,1.60953,0.86698,1.24234,0.98821,0.94342,0.96428,0.42692,1.83658,0.88715,1.4972,0.000495291,0.000495291,0.000495291
35,18099,1.63161,0.88576,1.26268,0.93882,0.92391,0.93406,0.42522,1.83635,0.86079,1.51018,0.000466997,0.000466997,0.000466997
36,18601.3,1.59941,0.86032,1.23755,0.97153,0.9542,0.96164,0.43582,1.81722,0.87941,1.51709,0.000438703,0.000438703,0.000438703
37,19103.3,1.61656,0.84641,1.24694,0.97727,0.95556,0.96721,0.42789,1.80279,0.89376,1.49303,0.000410409,0.000410409,0.000410409
38,19615.1,1.58896,0.85074,1.26207,0.97264,0.94813,0.96397,0.42852,1.82342,0.87335,1.50303,0.000382115,0.000382115,0.000382115
39,20132.4,1.59211,0.84373,1.22516,0.95863,0.93619,0.94657,0.42858,1.83115,0.884,1.51734,0.00035382,0.00035382,0.00035382
40,20654.8,1.58162,0.8504,1.23383,0.95494,0.92593,0.9431,0.43028,1.81388,0.8794,1.5043,0.000325526,0.000325526,0.000325526
41,21195.3,1.5832,0.81653,1.27992,0.98075,0.95082,0.9663,0.43536,1.81639,0.84587,1.49241,0.000297232,0.000297232,0.000297232
42,21722.3,1.57396,0.7927,1.29723,0.96333,0.93959,0.94945,0.41236,1.83489,0.8542,1.53262,0.000268938,0.000268938,0.000268938
43,22247.2,1.56127,0.78897,1.27653,0.97042,0.92593,0.94409,0.4053,1.85294,0.85117,1.53633,0.000240644,0.000240644,0.000240644
44,22765.8,1.52392,0.78888,1.27103,0.95352,0.92794,0.93555,0.42194,1.85637,0.83272,1.51703,0.000212349,0.000212349,0.000212349
45,23283.2,1.53544,0.76214,1.25714,0.95887,0.93362,0.93965,0.41692,1.88794,0.83784,1.54261,0.000184055,0.000184055,0.000184055
46,23800.7,1.52408,0.76587,1.27115,0.96951,0.92763,0.95547,0.42196,1.87128,0.84688,1.53598,0.000155761,0.000155761,0.000155761
47,24301.5,1.52274,0.75935,1.26449,0.95406,0.92422,0.9467,0.43606,1.84925,0.83671,1.5248,0.000127467,0.000127467,0.000127467
48,24822,1.50582,0.74821,1.24447,0.95308,0.9272,0.94988,0.43925,1.85015,0.83338,1.51814,9.91726e-05,9.91726e-05,9.91726e-05
49,25322.7,1.50256,0.74505,1.2554,0.95915,0.94721,0.95494,0.43618,1.84951,0.83822,1.51227,7.08784e-05,7.08784e-05,7.08784e-05
50,25823.7,1.49723,0.74722,1.25139,0.95727,0.94815,0.95432,0.43524,1.84626,0.83396,1.50926,4.25842e-05,4.25842e-05,4.25842e-05
